use_code,use_gen
0101,1
0102,1
0104,1
0105,1
0109,1
0111,1
0112,1
011C,0
013,0
0130,0
0140,0
031,0
0316,3
0322,3
0324,3
0325,3
0326,3
032R,3
0332,3
0336,3
0340,3
0342,3
0351,3
0355,3
0406,3
041,0
101,1
1010,1
1014,1
102,1
1020,1
1021,1
1028,1
1029,1
102V,1
104,1
1040,1
105,
1050,1
106,1
1060,1
1061,1
1062,1
1067,1
109,1
1090,1
1091,1
1094,1
1095,1
1098,1
1099,1
111,1
1110,1
111V,1
112,1
1120,1
112C,1
112V,1
113,1
114,1
121,1
122,1
1220,1
123,1
1230,1
1250,1
130,1
1300,1
131,1
1310,1
132,1
1320,1
1322,1
140,1
1400,1
199,1
300,3
3000,3
302,3
304,3
3140,3
316,3
3160,3
316V,3
3210,3
3220,3
3221,3
3222,3
322I,3
322V,3
323,3
3230,3
324,3
3240,3
325,3
3250,3
326,3
3260,3
327,3
3270,3
329,3
330,3
3300,3
3310,3
332,3
3320,3
332I,3
334,3
3340,3
3350,3
336,3
3360,3
337,3
3370,3
3380,3
339,3
340,3
3400,3
3401,3
340I,3
341,3
3410,3
342,3
3420,3
343,3
3430,3
345,3
346,3
3500,3
353,3
3530,3
3550,3
362,3
3620,3
3640,3
375,3
3760,3
3770,3
3841,3
390,3
3900,3
391,3
3910,3
392,3
3920,3
400,4
4000,4
400C,4
401,4
4010,4
4020,4
4022,4
402C,4
404,4
4040,4
4050,4
406,4
407,4
409,4
4100,4
413,4
422,4
424,4
4240,4
428,4
430,4
4300,4
4320,4
440,4
4400,4
4410,4
442,4
4420,4
450,4
900,9
9000,9
9001,9
9003,9
910,9
9100,9
9200,9
920V,9
9280,9
930,9
9300,9
930C,9
931,9
9310,9
9311,9
9313,9
9315,9
933,9
934,9
9340,9
935,9
9350,9
936,9
939,9
9390,9
9403,9
941,9
9410,9
9413,9
942,9
9420,9
9421,9
9423,9
9425,9
942V,9
943,9
9430,9
9450,9
946,9
947,9
9473,9
9500,9
951,9
9513,9
9530,9
9540,9
955,9
9550,9
9555,9
956,9
9560,9
957,9
9570,9
9571,9
9575,9
957C,9
957R,9
959,9
9590,9
959R,9
960,9
9600,9
9601,9
9605,9
960C,9
960V,9
961,9
9610,9
9611,9
9615,9
9620,9
9625,9
970,9
9700,9
9701,9
9703,9
9705,9
970C,9
971,9
9710,9
972,9
9720,9
972V,9
9730,9
974,9
975,9
9810,9
9900,9
9905,9
992,9
995,9
997,9
9970,9
9971,9